,collection_cluster,machine_cluster,1/cpi_mean,1/cpi_variance
0,1.0,1.0,0.6686594585944704,0.03584178543259962
1,1.0,10.0,0.780560357067997,0.20414832236625602
2,1.0,12.0,0.35130177547449726,0.005824280950565599
3,2.0,11.0,0.43614246371208526,0.014074691679491774
4,3.0,1.0,0.5446540705296891,0.2483226208175092
5,3.0,5.0,0.6957818314576266,0.48524423108489506
6,3.0,8.0,0.5254986041438892,0.0976867166534767
7,3.0,11.0,0.45329800465921416,0.03931849095719177
8,5.0,1.0,0.7828735467803641,0.286486441248955
9,5.0,2.0,1.3931885356521367,0.16345090083338285
10,5.0,3.0,0.4472070485454466,0.13952811074595614
11,5.0,5.0,0.5211220776679757,0.13445046752451192
12,5.0,6.0,0.42108881950301147,0.09626494650824977
13,5.0,7.0,0.9903465534848502,0.24975977546286898
14,5.0,8.0,0.44405984597317105,0.15444772263597822
15,5.0,9.0,0.3407370811615005,0.05816512797232338
16,5.0,10.0,0.4832625530856635,0.07090760911145408
17,5.0,11.0,0.41948247394954,0.09268264970787247
18,5.0,12.0,0.6941448767184575,0.14972113930155
